zone	rule	period	n_hours	mae_mw	median_ae_mw
DE_LU	anad2w	jul26_evening	84	2075.271124324404	1326.2619912343744
DE_LU	ana16wb	all	18024	2197.463403824957	1805.5582955156249
DE_LU	ana16wb	evening	3004	2147.872201740038	1727.353565609375
DE_LU	ana16wb	jul26	504	2186.449497392981	1723.0268296406248
DE_LU	ana16wb	jul26_evening	84	2347.0371412812497	1625.60962953125
DE_LU	v3	all	18024	2286.5888330045136	1869.0384472499998
DE_LU	v3	evening	3004	2246.675229118641	1808.6206973593744
DE_LU	v3	jul26	504	2194.485670150546	1726.44446071875
DE_LU	v3	jul26_evening	84	2376.8616677388395	1715.1128767343753
DK1	v2	all	18024	585.6982262884002	497.67375000000004
DK1	v2	evening	3004	600.5043502034787	517.1712500000001
DK1	v2	jul26	504	901.6175326490575	809.4428113124999
DK1	v2	jul26_evening	84	1065.316927854167	1038.5684334375
DK1	rec3	all	18024	520.5903937657729	437.75965699999983
DK1	rec3	evening	3004	521.1216442751747	437.62750000000005
DK1	rec3	jul26	504	677.7425625076885	515.8248221250001
DK1	rec3	jul26_evening	84	803.826842998512	728.3783125
DK1	d2	all	18024	534.6602933025804	441.1004875625
DK1	d2	evening	3004	540.7413297078062	436.95562500000005
DK1	d2	jul26	504	672.7905720282738	527.0497486249999
DK1	d2	jul26_evening	84	755.723145470238	455.69171762500014
DK1	ana8	all	18024	446.25326727482803	378.16345400000006
DK1	ana8	evening	3004	437.45235674893894	371.7295758125001
DK1	ana8	jul26	504	594.5499502467759	491.19454081249995
DK1	ana8	jul26_evening	84	583.3133143199403	478.13543749999985
DK1	ana8b	all	18024	468.10115301616594	399.9592343437499
DK1	ana8b	evening	3004	467.81849250891514	398.77015624999996
DK1	ana8b	jul26	504	707.4940638988095	624.5532128125001
DK1	ana8b	jul26_evening	84	764.9194161331845	707.5490802812499
DK1	ana16	all	18024	436.51067879890593	373.03156862500003
DK1	ana16	evening	3004	428.06684727750496	363.43499999999995
DK1	ana16	jul26	504	589.7166415353422	525.7067080312502
DK1	ana16	jul26_evening	84	598.6442029300595	552.8823125000001
DK1	ana16b	all	18024	466.1604402248761	403.95016948958335
DK1	ana16b	evening	3004	469.2731093805967	409.64895981250004
DK1	ana16b	jul26	504	711.9106525370163	666.381864875
DK1	ana16b	jul26_evening	84	793.4533510290179	739.2179764062499
DK1	ana8w	all	18024	465.77425973780095	397.458125
DK1	ana8w	evening	3004	464.9591134350242	406.5056249999999
DK1	ana8w	jul26	504	598.7604849975198	548.9339374374999
DK1	ana8w	jul26_evening	84	527.7235256383929	494.8619021874998
DK1	ana16w	all	18024	448.75426509003506	383.7323749375
DK1	ana16w	evening	3004	445.6701949877663	387.38531250000005
DK1	ana16w	jul26	504	591.3067286628225	541.7125625000001
DK1	ana16w	jul26_evening	84	565.1067123854167	486.4984374999999
DK1	anad2	all	18024	432.34241065912295	366.74223603125006
DK1	anad2	evening	3004	435.62117128064665	380.72696365625006
DK1	anad2	jul26	504	564.6662999064359	479.53015625
DK1	anad2	jul26_evening	84	636.2577633876488	560.1367071875
DK1	anad2w	all	18024	436.36778097158304	368.5115234062501
DK1	anad2w	evening	3004	440.22513299781536	382.2121875
